timestamp,event,x_pos,y_pos,score
2025-06-14T15:09:11.013810,missed,310,605,1
2025-06-14T15:09:11.513042,missed,215,605,2
2025-06-14T15:09:12.011770,missed,165,605,3
2025-06-14T15:09:12.509962,missed,300,605,4
2025-06-14T15:09:13.012165,missed,345,605,5
2025-06-14T15:09:13.511768,missed,395,605,6
2025-06-14T15:09:14.011695,missed,395,605,7
2025-06-14T15:09:14.513880,missed,465,605,8
2025-06-14T15:09:15.011376,missed,465,605,9
2025-06-14T15:09:15.512571,missed,465,605,10
2025-06-14T15:09:16.012202,missed,465,605,11
2025-06-14T15:09:16.506113,missed,465,605,12
2025-06-14T15:09:17.007165,missed,465,605,13
2025-06-14T15:09:17.504491,missed,465,605,14
2025-06-14T15:09:18.002834,missed,465,605,15
2025-06-14T15:09:18.505315,missed,465,605,16
2025-06-14T15:09:19.006350,missed,465,605,17
2025-06-14T15:09:19.507915,missed,465,605,18
2025-06-14T15:09:20.012777,missed,465,605,19
2025-06-14T15:09:20.518014,missed,465,605,20
2025-06-14T15:09:21.014985,missed,465,605,21
2025-06-14T15:09:21.517699,missed,465,605,22
2025-06-14T15:09:22.029001,missed,465,605,23
2025-06-14T15:09:22.197838,hit,465,505,23
